Date, Open, High, Low, Close
07/26/22, 119.34, 119.34, 119.34, 119.34
07/25/22, 118.07, 118.07, 118.07, 118.07
07/22/22, 116.52, 116.52, 116.52, 116.52
07/21/22, 115.86, 115.86, 115.86, 115.86
07/20/22, 117.55, 117.55, 117.55, 117.55
07/19/22, 116.05, 116.05, 116.05, 116.05
07/18/22, 117.14, 117.14, 117.14, 117.14
07/15/22, 113.47, 113.47, 113.47, 113.47
07/14/22, 111.72, 111.72, 111.72, 111.72
07/13/22, 113.67, 113.67, 113.67, 113.67
07/12/22, 111.96, 111.96, 111.96, 111.96
07/11/22, 116.38, 116.38, 116.38, 116.38
07/08/22, 115.91, 115.91, 115.91, 115.91
07/07/22, 115.14, 115.14, 115.14, 115.14
07/06/22, 110.75, 110.75, 110.75, 110.75
07/05/22, 111.87, 111.87, 111.87, 111.87
07/01/22, 117.13, 117.13, 117.13, 117.13
06/30/22, 117.05, 117.05, 117.05, 117.05
06/29/22, 122.28, 122.28, 122.28, 122.28
06/28/22, 122.70, 122.70, 122.70, 122.70
06/27/22, 121.84, 121.84, 121.84, 121.84
06/24/22, 121.31, 121.31, 121.31, 121.31
06/23/22, 120.91, 120.91, 120.91, 120.91
06/22/22, 124.73, 124.73, 124.73, 124.73
06/21/22, 126.33, 126.33, 126.33, 126.33
06/17/22, 126.78, 126.78, 126.78, 126.78
06/16/22, 130.32, 130.32, 130.32, 130.32
06/15/22, 129.44, 129.44, 129.44, 129.44
06/14/22, 129.06, 129.06, 129.06, 129.06
06/13/22, 133.24, 133.24, 133.24, 133.24
06/10/22, 135.43, 135.43, 135.43, 135.43
06/09/22, 136.61, 136.61, 136.61, 136.61
06/08/22, 136.04, 136.04, 136.04, 136.04
06/07/22, 136.41, 136.41, 136.41, 136.41
06/06/22, 136.31, 136.31, 136.31, 136.31
06/03/22, 133.82, 133.82, 133.82, 133.82
06/02/22, 133.83, 133.83, 133.83, 133.83
06/01/22, 132.80, 132.80, 132.80, 132.80
05/31/22, 131.34, 131.34, 131.34, 131.34
05/27/22, 133.87, 133.87, 133.87, 133.87
05/26/22, 133.26, 133.26, 133.26, 133.26
05/25/22, 132.10, 132.10, 132.10, 132.10
05/24/22, 131.93, 131.93, 131.93, 131.93
05/23/22, 132.35, 132.35, 132.35, 132.35
05/20/22, 130.55, 130.55, 130.55, 130.55
05/19/22, 131.11, 131.11, 131.11, 131.11
05/18/22, 129.63, 129.63, 129.63, 129.63
05/17/22, 131.63, 131.63, 131.63, 131.63
05/16/22, 130.84, 130.84, 130.84, 130.84
05/13/22, 128.31, 128.31, 128.31, 128.31
05/12/22, 127.15, 127.15, 127.15, 127.15
05/11/22, 127.41, 127.41, 127.41, 127.41
05/10/22, 124.62, 124.62, 124.62, 124.62
05/09/22, 124.76, 124.76, 124.76, 124.76
05/06/22, 130.34, 130.34, 130.34, 130.34
05/05/22, 132.40, 132.40, 132.40, 132.40
05/04/22, 131.44, 131.44, 131.44, 131.44
05/03/22, 128.62, 128.62, 128.62, 128.62
05/02/22, 128.97, 128.97, 128.97, 128.97
04/29/22, 129.48, 129.48, 129.48, 129.48
04/28/22, 129.17, 129.17, 129.17, 129.17
04/27/22, 129.66, 129.66, 129.66, 129.66
04/26/22, 128.30, 128.30, 128.30, 128.30
04/25/22, 126.83, 126.83, 126.83, 126.83
04/22/22, 129.03, 129.03, 129.03, 129.03
04/21/22, 131.30, 131.30, 131.30, 131.30
04/20/22, 131.03, 131.03, 131.03, 131.03
04/19/22, 131.32, 131.32, 131.32, 131.32
04/18/22, 134.99, 134.99, 134.99, 134.99
04/14/22, 132.43, 132.43, 132.43, 132.43
04/13/22, 131.01, 131.01, 131.01, 131.01
04/12/22, 128.81, 128.81, 128.81, 128.81
04/11/22, 125.94, 125.94, 125.94, 125.94
04/08/22, 126.41, 126.41, 126.41, 126.41
04/07/22, 124.93, 124.93, 124.93, 124.93
04/06/22, 124.51, 124.51, 124.51, 124.51
04/05/22, 126.21, 126.21, 126.21, 126.21
04/04/22, 125.57, 125.57, 125.57, 125.57
04/01/22, 123.88, 123.88, 123.88, 123.88
03/31/22, 124.41, 124.41, 124.41, 124.41
03/30/22, 126.45, 126.45, 126.45, 126.45
03/29/22, 123.62, 123.62, 123.62, 123.62
03/28/22, 126.21, 126.21, 126.21, 126.21
03/25/22, 129.85, 129.85, 129.85, 129.85
03/24/22, 129.16, 129.16, 129.16, 129.16
03/23/22, 128.84, 128.84, 128.84, 128.84
03/22/22, 125.55, 125.55, 125.55, 125.55
03/21/22, 125.67, 125.67, 125.67, 125.67
03/18/22, 123.36, 123.36, 123.36, 123.36
03/17/22, 124.35, 124.35, 124.35, 124.35
03/16/22, 120.67, 120.67, 120.67, 120.67
03/15/22, 121.90, 121.90, 121.90, 121.90
03/14/22, 123.80, 123.80, 123.80, 123.80
03/11/22, 126.39, 126.39, 126.39, 126.39
03/10/22, 125.13, 125.13, 125.13, 125.13
03/09/22, 125.84, 125.84, 125.84, 125.84
03/08/22, 132.63, 132.63, 132.63, 132.63
03/07/22, 130.87, 130.87, 130.87, 130.87
03/04/22, 127.03, 127.03, 127.03, 127.03
03/03/22, 122.93, 122.93, 122.93, 122.93
03/02/22, 122.10, 122.10, 122.10, 122.10
03/01/22, 119.30, 119.30, 119.30, 119.30
02/28/22, 114.55, 114.55, 114.55, 114.55
02/25/22, 112.40, 112.40, 112.40, 112.40
02/24/22, 115.27, 115.27, 115.27, 115.27
02/23/22, 114.34, 114.34, 114.34, 114.34
02/22/22, 113.54, 113.54, 113.54, 113.54
02/18/22, 111.63, 111.63, 111.63, 111.63
02/17/22, 111.54, 111.54, 111.54, 111.54
02/16/22, 111.67, 111.67, 111.67, 111.67
02/15/22, 109.89, 109.89, 109.89, 109.89
02/14/22, 111.10, 111.10, 111.10, 111.10
02/11/22, 109.90, 109.90, 109.90, 109.90
02/10/22, 109.49, 109.49, 109.49, 109.49
02/09/22, 109.74, 109.74, 109.74, 109.74
02/08/22, 108.91, 108.91, 108.91, 108.91
02/07/22, 109.40, 109.40, 109.40, 109.40
02/04/22, 109.57, 109.57, 109.57, 109.57
02/03/22, 109.34, 109.34, 109.34, 109.34
02/02/22, 110.27, 110.27, 110.27, 110.27
02/01/22, 108.57, 108.57, 108.57, 108.57
01/31/22, 107.86, 107.86, 107.86, 107.86
01/28/22, 107.15, 107.15, 107.15, 107.15
01/27/22, 106.19, 106.19, 106.19, 106.19
01/26/22, 106.63, 106.63, 106.63, 106.63
01/25/22, 105.62, 105.62, 105.62, 105.62
01/24/22, 104.62, 104.62, 104.62, 104.62
01/21/22, 105.36, 105.36, 105.36, 105.36
01/20/22, 105.73, 105.73, 105.73, 105.73
